language,average-simplemma,single-words-simplemma,word-pairs-simplemma,sentences-simplemma,average-cld2,single-words-cld2,word-pairs-cld2,sentences-cld2,average-cld3,single-words-cld3,word-pairs-cld3,sentences-cld3,average-langid,single-words-langid,word-pairs-langid,sentences-langid,average-fasttext,single-words-fasttext,word-pairs-fasttext,sentences-fasttext,average-fastspell-cons,single-words-fastspell-cons,word-pairs-fastspell-cons,sentences-fastspell-cons,average-fastspell-aggr,single-words-fastspell-aggr,word-pairs-fastspell-aggr,sentences-fastspell-aggr,average-langdetect,single-words-langdetect,word-pairs-langdetect,sentences-langdetect,average-lingua-low,single-words-lingua-low,word-pairs-lingua-low,sentences-lingua-low,average-lingua-high,single-words-lingua-high,word-pairs-lingua-high,sentences-lingua-high
Afrikaans,NaN,NaN,NaN,NaN,55,13,56,96,55,22,46,98,30,1,10,80,36,11,23,74,70,49,67,94,73,50,74,95,67,37,66,98,64,38,62,93,79,58,81,97
Albanian,20,21,17,23,65,18,77,99,55,18,48,98,65,33,63,98,66,35,66,98,66,35,66,98,66,35,66,98,79,53,84,99,80,54,86,99,88,69,95,100
Arabic,NaN,NaN,NaN,NaN,67,19,82,99,90,79,92,100,91,84,90,98,96,89,98,100,96,89,98,100,96,89,98,100,97,94,98,100,94,88,96,99,98,96,99,100
Armenian,22,36,14,14,100,100,100,100,99,100,100,97,94,83,99,100,100,100,100,100,100,100,100,100,100,100,100,100,NaN,NaN,NaN,NaN,100,100,100,100,100,100,100,100
Azerbaijani,NaN,NaN,NaN,NaN,72,34,82,99,81,62,82,99,68,36,69,98,78,57,80,98,69,43,69,94,85,67,90,100,NaN,NaN,NaN,NaN,82,71,78,96,90,77,92,99
Basque,NaN,NaN,NaN,NaN,61,23,69,91,62,33,62,92,52,18,52,86,71,44,70,100,71,44,70,100,71,44,70,100,NaN,NaN,NaN,NaN,75,56,76,92,84,71,87,93
Belarusian,NaN,NaN,NaN,NaN,76,42,87,99,84,67,86,100,85,69,87,99,85,69,88,98,92,81,94,99,95,87,98,100,NaN,NaN,NaN,NaN,92,80,95,100,97,92,99,100
Bengali,NaN,NaN,NaN,NaN,63,19,69,99,99,98,99,99,92,92,88,97,98,94,99,100,98,94,99,100,98,94,99,100,100,100,100,100,100,100,100,100,100,100,100,100
Bokmal,50,15,45,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13,3,12,23,NaN,NaN,NaN,NaN,69,53,70,85,75,55,77,91,NaN,NaN,NaN,NaN,50,27,47,75,58,39,59,77
Bosnian,NaN,NaN,NaN,NaN,19,4,15,36,33,19,28,52,5,2,4,8,9,9,10,8,54,54,64,44,65,54,76,64,NaN,NaN,NaN,NaN,29,23,29,36,35,29,35,41
Bulgarian,68,44,67,91,66,32,72,93,70,45,66,98,67,46,62,93,78,56,81,99,89,80,88,98,92,83,95,99,72,51,68,96,78,56,81,96,87,70,91,99
Catalan,59,32,62,81,38,4,30,79,48,19,42,84,38,5,29,81,57,33,57,83,63,42,63,85,66,44,67,88,54,25,51,86,58,33,60,82,70,51,74,87
Chinese,NaN,NaN,NaN,NaN,33,NaN,2,98,92,92,83,100,96,90,97,100,71,46,68,100,71,46,68,100,71,46,68,100,64,39,56,97,100,100,100,100,100,100,100,100
Croatian,NaN,NaN,NaN,NaN,51,34,47,73,42,26,42,58,48,16,38,90,47,28,42,72,72,62,79,76,81,64,87,93,73,49,72,97,60,36,57,86,73,53,74,90
Czech,50,31,44,76,74,50,80,91,64,39,65,88,66,44,69,86,76,58,79,92,76,61,78,88,80,64,83,92,71,52,73,88,71,54,72,87,80,66,84,91
Danish,50,20,47,83,59,27,56,94,58,26,54,95,60,33,61,86,62,35,57,95,76,56,75,98,78,58,78,99,70,50,68,93,70,45,70,95,81,61,84,98
Dutch,58,32,50,92,47,11,42,90,58,29,47,97,64,34,61,98,78,55,81,100,71,46,70,97,78,55,81,99,58,27,49,98,64,36,61,94,77,55,81,96
English,65,27,69,98,56,12,55,100,54,22,44,97,85,84,71,99,96,90,98,100,96,90,98,100,96,90,98,100,60,22,58,99,63,29,62,97,81,55,89,99
Esperanto,NaN,NaN,NaN,NaN,50,7,46,98,57,22,51,98,44,5,30,96,76,51,79,100,76,51,79,100,76,51,79,100,NaN,NaN,NaN,NaN,66,44,61,93,84,67,85,98
Estonian,71,44,70,97,65,24,73,99,70,41,69,99,67,37,67,98,73,50,73,96,73,50,73,97,73,50,73,97,83,62,87,100,83,62,88,99,92,80,96,100
Finnish,76,47,81,100,77,44,89,98,80,58,84,99,83,62,88,100,92,82,96,100,93,82,96,100,93,82,96,100,93,84,95,100,91,77,95,100,96,90,98,100
French,65,34,68,94,46,12,48,80,55,22,49,94,71,42,74,98,83,62,86,99,83,62,86,99,83,62,86,99,75,48,78,99,77,52,83,98,89,74,94,99
Ganda,NaN,NaN,NaN,NaN,61,23,62,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,65,87,100,91,79,95,100
Georgian,4,11,2,0,100,100,100,100,98,99,100,96,99,97,100,100,99,97,99,100,99,97,99,100,99,97,99,100,NaN,NaN,NaN,NaN,100,100,100,100,100,100,100,100
German,72,38,78,99,64,27,66,98,66,40,62,98,81,61,81,100,89,76,93,100,89,76,93,100,89,76,93,100,73,49,70,100,80,57,84,99,89,74,94,100
Greek,75,74,60,92,100,100,100,100,100,100,100,100,100,100,100,100,99,98,100,100,99,98,100,100,99,98,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Gujarati,NaN,NaN,NaN,NaN,100,100,100,100,100,99,100,100,100,100,100,100,100,99,100,100,100,99,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Hebrew,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,100,100,100,100,99,100,100,100,99,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Hindi,5,2,4,11,77,56,76,99,58,34,45,95,60,41,47,92,87,74,88,99,72,53,65,96,88,77,89,99,68,44,60,99,33,11,20,67,73,61,64,94
Hungarian,72,58,62,95,75,41,85,100,76,53,76,99,83,64,86,100,92,80,96,100,92,80,96,100,92,80,96,100,88,73,91,100,90,77,94,100,95,87,98,100
Icelandic,64,43,59,90,66,26,73,99,71,42,70,99,66,33,66,99,65,39,57,98,70,49,64,99,71,50,65,99,NaN,NaN,NaN,NaN,88,72,92,99,93,83,97,100
Indonesian,26,20,26,32,62,36,63,88,46,26,45,66,51,16,54,82,69,43,68,95,68,52,73,78,77,56,82,93,80,56,84,100,47,25,46,71,61,39,61,83
Irish,77,66,76,90,66,29,78,92,67,42,66,94,63,28,64,97,60,35,57,89,66,41,66,93,69,47,68,93,NaN,NaN,NaN,NaN,85,70,90,95,91,82,94,96
Italian,58,24,57,94,44,7,32,93,62,31,57,98,66,28,70,100,89,74,92,100,89,74,92,100,89,74,92,100,77,50,81,99,71,42,74,98,87,69,92,100
Japanese,NaN,NaN,NaN,NaN,33,NaN,NaN,100,98,97,96,100,86,61,96,100,87,72,89,100,87,72,89,100,87,72,89,100,100,99,100,100,100,100,100,100,100,100,100,100
Kazakh,NaN,NaN,NaN,NaN,77,43,88,99,82,62,83,99,80,67,78,96,88,72,90,100,76,52,80,96,91,79,94,100,NaN,NaN,NaN,NaN,94,88,94,100,96,89,98,100
Korean,NaN,NaN,NaN,NaN,100,100,100,100,99,100,100,98,100,100,100,100,99,98,100,100,99,98,100,100,99,98,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Latin,63,33,63,93,46,9,42,88,62,44,58,83,21,NaN,2,61,50,24,41,85,50,24,41,86,50,24,41,86,NaN,NaN,NaN,NaN,73,49,76,94,87,72,93,97
Latvian,45,36,33,65,72,33,84,98,75,51,77,98,83,64,86,98,82,65,83,97,82,66,84,97,84,69,86,98,89,76,92,99,87,75,90,97,93,85,97,99
Lithuanian,66,50,62,88,70,30,82,99,72,42,75,99,80,58,85,99,81,61,83,99,81,61,83,99,81,61,83,99,87,71,91,100,87,76,89,98,95,86,98,100
