language,cld2,cld3,fastspell-aggr,fastspell-cons,fasttext,langdetect,langid,lingua-afrikaans-detector,lingua-albanian-detector,lingua-arabic-detector,lingua-armenian-detector,lingua-azerbaijani-detector,lingua-basque-detector,lingua-belarusian-detector,lingua-bengali-detector,lingua-bokmal-detector,lingua-bosnian-detector,lingua-bulgarian-detector,lingua-catalan-detector,lingua-chinese-detector,lingua-croatian-detector,lingua-czech-detector,lingua-danish-detector,lingua-dutch-detector,lingua-english-detector,lingua-esperanto-detector,lingua-estonian-detector,lingua-finnish-detector,lingua-french-detector,lingua-ganda-detector,lingua-georgian-detector,lingua-german-detector,lingua-greek-detector,lingua-gujarati-detector,lingua-hebrew-detector,lingua-high-accuracy,lingua-hindi-detector,lingua-hungarian-detector,lingua-icelandic-detector,lingua-indonesian-detector,lingua-irish-detector,lingua-italian-detector,lingua-japanese-detector,lingua-kazakh-detector,lingua-korean-detector,lingua-latin-detector,lingua-latvian-detector,lingua-lithuanian-detector,lingua-low-accuracy,lingua-macedonian-detector,lingua-malay-detector,lingua-maori-detector,lingua-marathi-detector,lingua-mongolian-detector,lingua-nynorsk-detector,lingua-persian-detector,lingua-polish-detector,lingua-portuguese-detector,lingua-punjabi-detector,lingua-romanian-detector,lingua-russian-detector,lingua-serbian-detector,lingua-shona-detector,lingua-slovak-detector,lingua-slovene-detector,lingua-somali-detector,lingua-sotho-detector,lingua-spanish-detector,lingua-swahili-detector,lingua-swedish-detector,lingua-tagalog-detector,lingua-tamil-detector,lingua-telugu-detector,lingua-thai-detector,lingua-tsonga-detector,lingua-tswana-detector,lingua-turkish-detector,lingua-ukrainian-detector,lingua-urdu-detector,lingua-vietnamese-detector,lingua-welsh-detector,lingua-xhosa-detector,lingua-yoruba-detector,lingua-zulu-detector,simplemma
Afrikaans,96.4,97.6,95.0,93.7,74.0,98.4,79.5,98.9,73.2,100.0,100.0,68.60000000000001,62.6,100.0,100.0,15.2,64.0,100.0,38.6,100.0,66.9,51.0,13.900000000000002,4.0,19.8,37.2,45.2,28.7,33.900000000000006,81.10000000000001,100.0,11.1,100.0,100.0,100.0,96.9,100.0,65.0,33.900000000000006,34.599999999999994,83.1,40.8,100.0,100.0,100.0,47.2,48.5,57.9,92.7,100.0,34.4,50.1,100.0,100.0,16.8,100.0,52.1,47.4,100.0,42.8,100.0,100.0,43.1,31.2,46.3,45.3,61.6,49.1,57.8,22.6,51.5,100.0,100.0,100.0,60.5,63.0,41.9,100.0,100.0,86.4,64.7,64.9,34.2,50.2,NaN
Albanian,99.0,98.1,97.9,97.9,97.9,99.3,98.3,47.9,99.8,100.0,100.0,55.00000000000001,45.1,100.0,100.0,50.2,38.0,99.9,38.6,100.0,36.5,58.7,44.4,50.9,34.599999999999994,27.800000000000004,57.4,59.2,41.7,43.8,100.0,44.5,99.9,100.0,100.0,99.7,100.0,50.3,64.7,36.6,73.7,27.6,100.0,100.0,100.0,33.4,61.6,39.4,99.3,99.9,36.4,43.8,100.0,100.0,46.6,100.0,68.89999999999999,36.2,100.0,36.0,99.9,99.9,41.7,39.4,37.3,72.1,68.30000000000001,39.900000000000006,33.0,43.7,51.9,100.0,100.0,100.0,44.4,70.39999999999999,35.6,100.0,100.0,90.5,75.6,49.5,44.3,53.0,22.9
Arabic,99.4,99.5,99.7,99.7,99.7,100.0,98.5,99.7,99.6,99.8,100.0,100.0,99.5,100.0,100.0,99.7,99.7,100.0,99.3,100.0,99.6,99.7,99.6,99.6,99.2,99.4,99.6,99.8,99.5,99.9,100.0,99.7,100.0,100.0,100.0,99.9,100.0,99.9,99.8,99.8,99.9,99.3,100.0,100.0,100.0,99.3,99.9,99.7,99.9,100.0,99.7,99.8,100.0,100.0,99.4,70.5,99.6,99.6,100.0,99.0,100.0,100.0,99.8,99.5,99.5,99.9,99.8,99.6,99.4,99.7,99.8,100.0,100.0,100.0,99.8,99.8,99.8,100.0,65.10000000000001,99.9,100.0,99.8,99.5,99.8,NaN
Armenian,100.0,96.8,100.0,100.0,100.0,NaN,99.6,98.6,99.5,100.0,100.0,99.8,98.9,99.9,100.0,97.9,99.3,99.3,97.9,100.0,99.3,98.9,97.9,98.2,97.6,97.8,98.9,99.0,98.2,99.1,100.0,98.1,100.0,100.0,100.0,100.0,100.0,99.4,99.2,98.0,98.6,97.9,100.0,100.0,100.0,97.2,100.0,99.1,100.0,99.5,98.1,99.3,100.0,100.0,97.7,100.0,99.0,98.0,100.0,97.4,99.3,99.4,99.2,97.7,98.0,99.1,99.3,98.1,98.8,98.2,98.3,100.0,100.0,100.0,99.5,99.3,98.7,99.6,100.0,99.9,99.5,98.7,98.7,98.9,14.2
Azerbaijani,99.3,99.2,99.6,93.6,97.7,NaN,98.1,63.6,65.3,100.0,100.0,99.8,75.3,100.0,100.0,68.7,58.5,100.0,73.8,100.0,70.39999999999999,77.9,66.8,68.5,64.60000000000001,49.6,70.19999999999999,68.30000000000001,76.5,52.3,100.0,71.3,100.0,100.0,100.0,99.0,100.0,81.5,64.60000000000001,31.3,92.0,47.4,100.0,99.9,100.0,65.0,75.7,47.4,99.0,100.0,33.5,51.5,100.0,100.0,59.0,100.0,81.5,58.6,100.0,62.1,100.0,100.0,52.8,60.9,59.8,38.1,74.6,56.7,38.2,50.5,31.0,100.0,100.0,100.0,53.0,82.6,5.800000000000001,100.0,100.0,97.4,70.19999999999999,73.6,42.3,64.8,NaN
Basque,91.2,92.0,99.5,99.5,99.5,NaN,86.5,44.6,49.0,99.9,100.0,50.7,99.9,100.0,100.0,18.4,27.800000000000004,100.0,32.800000000000004,100.0,32.9,63.7,18.3,37.4,27.500000000000004,20.4,52.8,54.900000000000006,33.4,30.7,100.0,26.1,99.7,100.0,100.0,92.8,99.9,51.2,54.900000000000006,15.5,37.5,19.5,100.0,100.0,100.0,15.4,55.1,37.9,89.1,100.0,21.3,25.1,99.9,100.0,35.4,100.0,57.4,35.099999999999994,100.0,24.1,100.0,100.0,41.7,27.0,47.4,56.6,47.6,35.6,34.0,29.6,29.0,100.0,100.0,100.0,42.1,57.8,24.9,100.0,99.9,91.1,83.2,53.5,37.5,52.400000000000006,NaN
Belarusian,98.6,99.6,100.0,99.4,97.9,NaN,99.1,99.4,100.0,100.0,100.0,99.9,99.5,99.6,100.0,99.4,99.6,46.7,99.0,100.0,99.4,99.4,99.3,99.2,98.8,99.4,99.8,99.7,99.2,99.8,100.0,98.9,100.0,100.0,100.0,99.9,100.0,99.5,99.8,99.2,99.8,99.0,100.0,29.4,100.0,99.2,99.8,99.7,99.8,57.1,99.3,99.6,100.0,73.5,99.4,100.0,99.5,99.2,100.0,99.2,34.7,54.7,99.7,99.2,98.9,99.8,100.0,99.2,99.7,99.1,99.7,100.0,100.0,100.0,99.9,99.7,99.8,23.9,100.0,100.0,99.7,99.9,99.8,99.8,NaN
Bengali,99.4,99.1,100.0,100.0,100.0,100.0,97.0,99.4,99.9,100.0,100.0,100.0,99.8,100.0,100.0,99.4,99.9,100.0,99.5,100.0,99.8,99.8,99.4,99.4,99.0,99.6,99.9,99.9,99.3,99.6,100.0,99.6,100.0,100.0,100.0,99.9,100.0,100.0,99.5,99.8,99.6,99.7,100.0,100.0,100.0,99.7,100.0,99.9,100.0,100.0,99.6,100.0,100.0,100.0,99.5,100.0,100.0,99.5,100.0,99.7,100.0,100.0,99.9,99.6,99.7,100.0,99.7,99.5,99.7,99.5,99.8,100.0,100.0,100.0,99.9,99.8,99.9,100.0,100.0,99.9,99.9,99.8,99.9,99.8,NaN
Bokmal,NaN,NaN,91.2,85.0,NaN,NaN,22.7,14.4,56.7,100.0,100.0,53.7,45.3,100.0,100.0,98.5,53.3,100.0,26.4,100.0,54.8,44.3,2.3,14.499999999999998,10.7,28.1,32.300000000000004,24.9,23.6,74.9,100.0,14.499999999999998,100.0,100.0,100.0,76.6,100.0,32.0,18.4,22.2,67.9,22.8,100.0,100.0,100.0,33.1,74.6,63.1,72.8,100.0,21.4,35.9,100.0,100.0,2.0,100.0,67.30000000000001,37.5,100.0,33.900000000000006,100.0,100.0,65.9,38.6,34.1,88.7,52.1,43.1,53.400000000000006,4.9,44.4,100.0,100.0,100.0,55.1,50.2,31.0,100.0,100.0,93.5,62.1,52.5,50.9,43.3,89.60000000000001
Bosnian,36.4,52.400000000000006,64.2,44.5,8.3,NaN,8.0,57.2,59.8,100.0,100.0,67.7,55.400000000000006,100.0,100.0,60.7,94.9,100.0,36.5,100.0,5.7,26.700000000000003,60.1,60.7,45.3,22.2,34.8,52.900000000000006,50.6,50.7,100.0,62.0,100.0,100.0,100.0,40.9,100.0,68.2,55.8,32.9,88.5,27.1,100.0,100.0,100.0,43.6,60.1,37.5,35.099999999999994,100.0,34.4,47.1,100.0,100.0,45.0,100.0,37.4,31.4,100.0,31.1,100.0,100.0,44.6,12.6,11.3,59.9,53.7,37.4,33.6,56.00000000000001,38.1,100.0,100.0,100.0,45.7,66.60000000000001,40.3,100.0,100.0,93.2,88.0,61.9,46.8,59.7,NaN
Bulgarian,92.8,97.9,99.2,98.5,98.7,96.5,93.0,99.5,99.8,100.0,100.0,99.9,99.6,45.3,100.0,99.1,99.7,98.4,99.4,100.0,99.8,99.8,99.1,99.1,98.9,99.5,99.7,99.7,99.3,99.8,100.0,99.2,100.0,100.0,100.0,99.0,100.0,99.4,99.5,99.7,99.6,98.8,100.0,62.9,100.0,99.6,99.9,99.5,97.1,5.800000000000001,99.7,99.7,100.0,83.6,99.4,100.0,99.9,99.3,100.0,99.3,11.7,12.4,99.9,99.5,99.7,99.8,99.9,99.2,99.7,99.0,99.4,100.0,100.0,100.0,100.0,99.5,99.6,32.7,100.0,100.0,100.0,99.7,99.6,99.9,91.4
Catalan,79.10000000000001,83.6,87.9,84.7,83.1,86.2,81.0,47.2,61.0,100.0,100.0,65.9,43.1,100.0,100.0,40.7,36.6,100.0,93.2,100.0,44.0,47.9,35.099999999999994,47.9,19.6,17.299999999999997,47.6,50.3,15.2,60.3,100.0,44.5,100.0,100.0,100.0,86.6,100.0,66.7,57.1,25.9,86.6,14.6,100.0,100.0,100.0,18.1,66.8,45.0,82.69999999999999,100.0,26.0,55.8,100.0,100.0,37.2,100.0,53.400000000000006,12.3,100.0,19.8,100.0,100.0,62.3,32.7,31.2,72.1,53.0,11.3,50.2,42.1,53.900000000000006,100.0,100.0,100.0,47.2,68.2,46.7,100.0,100.0,92.5,78.3,76.1,62.4,73.6,81.39999999999999
Chinese,98.079561042524,100.0,99.72565157750344,99.72565157750344,99.72565157750344,96.43347050754458,99.86282578875172,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.1371742112482853,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,NaN
Croatian,72.7,58.3,93.3,76.4,71.6,97.2,90.1,56.3,53.7,100.0,100.0,67.7,49.1,100.0,100.0,61.7,3.5000000000000004,100.0,25.1,100.0,97.3,17.5,60.5,59.7,38.0,15.9,25.9,52.5,40.7,43.7,100.0,60.8,100.0,100.0,100.0,90.4,100.0,63.6,55.8,30.2,90.0,26.200000000000003,100.0,100.0,100.0,34.599999999999994,60.4,29.6,85.39999999999999,100.0,33.0,44.4,100.0,100.0,45.6,100.0,26.8,25.7,100.0,22.8,100.0,100.0,37.7,8.7,7.1,58.2,46.6,30.1,27.3,59.4,33.0,100.0,100.0,100.0,42.0,63.5,36.9,100.0,100.0,91.0,86.3,59.8,41.6,52.8,NaN
Czech,90.9,88.2,92.2,88.3,92.3,88.5,86.5,60.6,80.60000000000001,100.0,100.0,91.7,70.8,100.0,100.0,60.5,29.7,100.0,42.8,100.0,35.3,93.7,58.4,58.7,43.9,32.2,48.1,60.4,58.4,74.5,100.0,55.400000000000006,100.0,100.0,100.0,91.1,100.0,68.5,67.2,57.4,84.8,41.3,100.0,100.0,100.0,54.400000000000006,89.5,65.5,88.3,100.0,58.9,79.9,100.0,100.0,51.0,100.0,43.1,51.1,100.0,43.5,100.0,100.0,74.2,18.4,27.700000000000003,87.0,69.5,50.9,68.60000000000001,61.7,73.2,100.0,100.0,100.0,71.0,81.5,69.89999999999999,100.0,100.0,84.89999999999999,93.5,75.7,67.80000000000001,74.5,75.9
Danish,94.0,94.7,98.9,97.6,95.0,93.8,85.8,10.2,57.7,100.0,100.0,51.3,42.7,100.0,100.0,1.7000000000000002,62.4,100.0,31.8,100.0,64.0,53.900000000000006,99.3,9.9,11.1,34.1,34.0,26.3,26.4,80.0,100.0,8.9,100.0,100.0,100.0,97.9,100.0,36.1,23.8,23.5,81.8,28.7,100.0,100.0,100.0,36.9,74.9,68.2,95.19999999999999,100.0,22.7,40.1,100.0,100.0,2.4,100.0,71.8,39.3,100.0,39.2,100.0,100.0,65.7,43.7,38.1,85.2,61.6,47.7,56.49999999999999,3.6,46.1,100.0,100.0,100.0,60.3,50.6,26.200000000000003,100.0,100.0,95.6,56.7,56.7,45.2,50.6,83.0
Dutch,90.1,96.8,99.1,97.3,99.5,97.5,98.1,3.1,59.0,100.0,100.0,64.2,49.9,100.0,100.0,9.7,51.4,100.0,35.5,100.0,49.8,45.2,8.799999999999999,99.2,14.2,27.6,42.4,16.8,35.9,75.4,100.0,8.1,99.9,100.0,99.9,96.4,100.0,47.9,33.7,28.9,55.400000000000006,27.700000000000003,99.9,100.0,99.9,36.1,52.8,56.49999999999999,92.80000000000001,100.0,29.3,44.8,100.0,100.0,13.7,100.0,56.89999999999999,36.6,100.0,29.5,100.0,100.0,32.800000000000004,24.5,40.1,53.3,52.7,39.2,45.3,13.5,47.6,100.0,100.0,100.0,54.6,57.3,29.5,100.0,100.0,83.1,68.2,59.0,31.5,49.8,92.2
English,99.8,97.4,100.0,100.0,100.0,99.2,99.2,17.0,63.4,100.0,100.0,59.7,46.7,100.0,100.0,11.0,45.8,100.0,17.1,100.0,38.5,42.8,8.6,14.7,98.4,22.1,40.1,47.9,16.1,72.0,100.0,18.8,100.0,100.0,100.0,99.3,100.0,55.400000000000006,24.5,25.5,14.8,13.900000000000002,100.0,100.0,100.0,19.2,65.9,47.1,95.7,100.0,25.0,36.3,100.0,100.0,12.1,100.0,58.8,23.5,100.0,17.5,100.0,100.0,63.7,35.8,33.4,83.5,61.2,22.5,31.9,10.7,38.7,100.0,100.0,100.0,52.900000000000006,60.1,48.9,100.0,100.0,89.2,66.7,67.5,44.2,42.4,98.0
Esperanto,97.5,97.9,99.5,99.5,99.5,NaN,95.5,46.9,55.2,99.9,100.0,59.6,47.0,100.0,100.0,39.5,18.4,100.0,12.3,100.0,20.200000000000003,24.1,35.9,45.3,25.6,97.9,27.500000000000004,42.1,17.8,49.8,100.0,48.8,99.9,100.0,100.0,98.5,100.0,64.1,39.1,28.9,79.60000000000001,13.3,100.0,100.0,100.0,15.8,66.2,29.5,94.19999999999999,100.0,30.5,44.3,100.0,100.0,28.9,100.0,32.9,13.3,100.0,18.7,100.0,100.0,49.5,17.299999999999997,19.0,65.5,56.7,14.3,45.0,38.3,40.3,100.0,100.0,100.0,54.50000000000001,64.3,36.3,100.0,100.0,80.80000000000001,89.60000000000001,64.0,53.400000000000006,56.10000000000001,NaN
Estonian,99.1,98.9,96.9,96.9,96.3,99.4,97.6,31.5,45.1,100.0,100.0,59.6,56.10000000000001,100.0,100.0,36.3,34.4,100.0,37.3,100.0,44.3,50.9,36.4,42.9,49.8,27.6,98.1,19.8,41.6,50.6,100.0,52.0,100.0,100.0,100.0,99.8,100.0,54.7,41.1,40.3,61.2,33.900000000000006,100.0,100.0,100.0,34.5,61.5,40.2,99.6,100.0,42.0,49.6,100.0,100.0,30.5,100.0,50.0,37.4,100.0,33.1,100.0,100.0,59.2,35.3,36.2,44.8,53.7,38.1,39.0,45.4,36.8,100.0,100.0,100.0,51.4,60.6,38.6,100.0,100.0,97.2,68.5,44.2,54.6,48.8,97.0
