"language","cld2","cld3","langdetect","langid","lingua-afrikaans-detector","lingua-albanian-detector","lingua-arabic-detector","lingua-armenian-detector","lingua-azerbaijani-detector","lingua-basque-detector","lingua-belarusian-detector","lingua-bengali-detector","lingua-bokmal-detector","lingua-bosnian-detector","lingua-bulgarian-detector","lingua-catalan-detector","lingua-chinese-detector","lingua-croatian-detector","lingua-czech-detector","lingua-danish-detector","lingua-dutch-detector","lingua-english-detector","lingua-esperanto-detector","lingua-estonian-detector","lingua-finnish-detector","lingua-french-detector","lingua-ganda-detector","lingua-georgian-detector","lingua-german-detector","lingua-greek-detector","lingua-gujarati-detector","lingua-hebrew-detector","lingua-high-accuracy","lingua-hindi-detector","lingua-hungarian-detector","lingua-icelandic-detector","lingua-indonesian-detector","lingua-irish-detector","lingua-italian-detector","lingua-japanese-detector","lingua-kazakh-detector","lingua-korean-detector","lingua-latin-detector","lingua-latvian-detector","lingua-lithuanian-detector","lingua-low-accuracy","lingua-macedonian-detector","lingua-malay-detector","lingua-maori-detector","lingua-marathi-detector","lingua-mongolian-detector","lingua-nynorsk-detector","lingua-persian-detector","lingua-polish-detector","lingua-portuguese-detector","lingua-punjabi-detector","lingua-romanian-detector","lingua-russian-detector","lingua-serbian-detector","lingua-shona-detector","lingua-slovak-detector","lingua-slovene-detector","lingua-somali-detector","lingua-sotho-detector","lingua-spanish-detector","lingua-swahili-detector","lingua-swedish-detector","lingua-tagalog-detector","lingua-tamil-detector","lingua-telugu-detector","lingua-thai-detector","lingua-tsonga-detector","lingua-tswana-detector","lingua-turkish-detector","lingua-ukrainian-detector","lingua-urdu-detector","lingua-vietnamese-detector","lingua-welsh-detector","lingua-xhosa-detector","lingua-yoruba-detector","lingua-zulu-detector","simplemma"
"Afrikaans","12.7","21.8","37.6","1.3","45.9","93.6","100","100","93.8","94","100","100","66.4","92","100","84.8","100","92.8","89.8","63.8","60.2","71.1","83.39999999999999","87.3","84.6","85.1","95.9","100","73.9","100","100","100","58.599999999999994","100","94.7","80.80000000000001","82","96.5","84","100","100","100","86.6","91.1","91.4","38.4","100","83.2","88.5","100","100","69.5","100","92.7","87.6","100","84","100","100","93.4","87.1","87.8","92.9","92.3","86.4","89.3","71.89999999999999","87.7","100","100","100","91.1","92.5","83.39999999999999","100","100","97","95.3","92.5","86.3","87.7","NaN"
"Albanian","18.5","17.9","52.5","33.4","91.2","57.3","100","100","91.5","90.6","100","100","89.9","89.9","100","86.6","100","88.6","93.7","89.4","91.9","84.5","83.6","94.1","94.7","88.8","94.1","100","89.3","100","100","100","68.8","100","92.7","95.6","90.7","97.6","82.5","100","100","100","87.7","94.8","88.7","59","100","90.9","93.3","100","100","90.7","100","94.9","86.9","100","85.9","100","100","93.8","87.4","86.9","97.2","96.1","89","87.4","88.3","91.9","100","100","100","93.5","95.9","86.8","100","100","99.1","98","94.4","90.5","94.1","20.6"
"Arabic","19.3","78.60000000000001","93.8","83.6","100","100","86.4","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","96.39999999999999","100","100","100","100","100","100","100","100","100","100","100","100","93.8","100","100","100","100","100","100","95.4","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","92.4","100","100","100","100","100","NaN"
"Armenian","100","99.9","NaN","82.8","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","36.5"
"Azerbaijani","34.5","62","NaN","36.1","94.1","94.4","100","100","76.1","95.9","100","100","95.3","92.1","100","95.9","100","94.1","95.3","95.3","95.7","94.3","90.8","93.9","94.5","96.9","93","100","96.1","100","100","100","77","100","96.5","94.4","86.8","98.5","88","100","100","100","93.5","96.8","90.3","74.7","100","88.3","92.1","100","100","93.6","100","97","94.3","100","94","100","100","93.2","92.8","92.7","89.7","96.1","93.7","88.9","91.5","88.4","100","100","100","92.4","97.8","67.30000000000001","100","100","99.7","98.7","96.5","88.6","95.8","NaN"
"Basque","22.8","33.4","NaN","18","89","91","100","100","91.1","53.3","100","100","86","85.39999999999999","100","86.6","100","87","93.1","85.6","88.9","79.60000000000001","80.2","91.9","93.5","87.9","84.1","100","86.6","100","100","100","71","100","93.3","90.7","76.1","90.1","75.7","100","100","100","77.9","93","88","56.89999999999999","100","76.7","83.1","100","100","86.6","100","94","85.3","100","77.3","100","100","86.1","84.89999999999999","89.7","91.7","88.5","85.1","86.1","85","83.2","100","100","100","90.2","90.1","83.89999999999999","100","100","98.2","97","89.8","82.3","89.5","NaN"
"Belarusian","42","66.7","NaN","68.60000000000001","100","100","100","100","100","100","81.69999999999999","100","100","100","91.1","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","91.5","100","100","100","100","100","100","100","86","100","100","100","100","87.6","94.3","100","100","100","97.3","100","100","100","100","100","100","86.7","93.5","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","79.5","100","100","100","100","100","100","NaN"
"Bengali","19.4","98.5","100","91.9","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","NaN"
"Bokmal","NaN","NaN","NaN","2.8000000000000003","67.5","90.9","100","100","90.5","87.2","100","100","53.400000000000006","89.60000000000001","100","80.2","100","89.5","86.5","54.3","69.5","69.89999999999999","78.3","83.3","80.10000000000001","79.80000000000001","95.3","100","72","100","100","100","38.800000000000004","100","85.1","77.60000000000001","78.3","95.7","77.7","100","100","100","83.5","96.4","92.4","27.500000000000004","100","78.3","83.89999999999999","100","100","53.2","100","93","84.7","100","82.5","100","100","95.1","84.2","82.39999999999999","97.9","89.3","86.7","88.2","65","85.7","100","100","100","90.5","91","85.1","100","100","98.8","93.9","90.6","91.9","87.2","14.8"
"Bosnian","4.1000000000000005","18.6","NaN","1.6","93.8","95.2","100","100","95.1","93.9","100","100","94.1","36.2","100","86.1","100","62.7","83.5","93.5","94.3","88.7","80.9","87.2","93.5","89.7","91.7","100","95.6","100","100","100","28.9","100","96.1","92.1","86.8","97.9","84.39999999999999","100","100","100","89.4","93.1","85.7","22.2","100","87.8","90.3","100","100","88.8","100","86.2","84.2","100","86.3","100","100","89.7","72.8","69.5","95.3","93.6","85.6","86.2","92.2","88.3","100","100","100","91.6","96","89.4","100","100","99.2","98.3","93.9","90.1","93.5","NaN"
